Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Jan,Feb,Mar,Apr,May,Jun,Total,Calculated Total,Total Variance,Total Check
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,0,2,0,1,6,1,10,10,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,KIA INDIA PRIVATE LIMITED,KIA,Diesel,2,0,0,0,0,0,2,2,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,1,0,1,0,0,2,2,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,3,0,2,1,1,0,7,7,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,OTHERS,OTHERS,Diesel,0,0,1,0,0,0,1,1,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,1,1,0,1,3,0,6,6,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,0,1,2,1,0,0,4,4,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,0,1,0,0,0,0,1,1,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,5,1,0,0,4,1,11,11,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,KIA INDIA PRIVATE LIMITED,KIA,Diesel,3,1,0,0,2,0,6,6,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,0,0,1,0,0,1,1,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,11,1,3,3,9,1,28,28,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,OTHERS,OTHERS,Diesel,0,2,0,0,0,0,2,2,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,6,2,0,3,1,0,12,12,0,OK
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,1,2,0,0,0,0,3,3,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,3,8,5,1,12,1,30,30,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,KIA INDIA PRIVATE LIMITED,KIA,Diesel,9,2,0,2,8,4,25,25,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,5,0,1,0,0,6,6,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,4,5,3,3,4,4,23,23,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,OTHERS,OTHERS,Diesel,0,0,3,0,0,0,3,3,0,OK
