Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Month,Month No,Month Date,Registrations,Reported Total,Calculated Total,Total Variance,Total Check
RTA MAHABOOBNAGAR - TG6( 27-FEB-2026 ).xlsx,RTA MAHABOOBNAGAR,TG6,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jan,1,2026-01-01,0,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Feb,2,2026-02-01,0,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Mar,3,2026-03-01,0,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Apr,4,2026-04-01,0,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,May,5,2026-05-01,1,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jun,6,2026-06-01,2,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jan,1,2026-01-01,0,4,4,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Feb,2,2026-02-01,0,4,4,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Mar,3,2026-03-01,0,4,4,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Apr,4,2026-04-01,0,4,4,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,May,5,2026-05-01,2,4,4,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jun,6,2026-06-01,2,4,4,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jan,1,2026-01-01,0,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Feb,2,2026-02-01,0,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Mar,3,2026-03-01,0,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Apr,4,2026-04-01,1,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,May,5,2026-05-01,10,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jun,6,2026-06-01,1,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jan,1,2026-01-01,0,5,5,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Feb,2,2026-02-01,0,5,5,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Mar,3,2026-03-01,0,5,5,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Apr,4,2026-04-01,0,5,5,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,May,5,2026-05-01,3,5,5,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jun,6,2026-06-01,2,5,5,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jan,1,2026-01-01,0,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Feb,2,2026-02-01,0,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Mar,3,2026-03-01,0,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Apr,4,2026-04-01,0,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,May,5,2026-05-01,2,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jun,6,2026-06-01,1,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Apr,4,2026-04-01,0,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,May,5,2026-05-01,1,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,Jun,6,2026-06-01,0,1,1,0,OK
RTA YADADRI - TG30( 27-FEB-2026 ).xlsx,RTA YADADRI,TG30,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Jan,1,2026-01-01,0,1,1,0,OK
RTA YADADRI - TG30( 27-FEB-2026 ).xlsx,RTA YADADRI,TG30,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Feb,2,2026-02-01,0,1,1,0,OK
RTA YADADRI - TG30( 27-FEB-2026 ).xlsx,RTA YADADRI,TG30,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,Mar,3,2026-03-01,0,1,1,0,OK
